Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Vehicle_Age
0.75,26000,Petrol,Individual,Manual,1,17
0.95,3500,Petrol,Individual,Manual,0,8
0.787,50000,Petrol,Individual,Manual,0,17
6.8,36000,Petrol,Dealer,Manual,0,10
1.5,8700,Petrol,Individual,Manual,0,9
35.96,41000,Diesel,Dealer,Automatic,0,11
30.61,40000,Diesel,Dealer,Automatic,0,10
8.12,18796,Petrol,Dealer,Manual,0,10
0.787,75000,Petrol,Individual,Manual,0,14
5.98,51439,Diesel,Dealer,Manual,0,13
8.01,50000,Petrol,Dealer,Automatic,0,14
7.9,28569,Petrol,Dealer,Manual,0,9
7.27,40534,Petrol,Dealer,Manual,0,10
4.43,23709,Petrol,Dealer,Manual,0,13
1.4,35000,Petrol,Individual,Manual,0,9
0.84,5000,Petrol,Individual,Manual,0,8
14.79,12900,Petrol,Dealer,Automatic,0,10
0.32,35000,Petrol,Individual,Manual,0,10
13.6,21780,Petrol,Dealer,Manual,0,10
5.9,14465,Petrol,Dealer,Manual,0,10
6.79,31604,Petrol,Dealer,Manual,0,14
13.46,197176,Diesel,Dealer,Manual,0,20
23.15,11000,Petrol,Dealer,Automatic,0,8
4.6,53460,Petrol,Dealer,Manual,0,14
0.54,500,Petrol,Individual,Automatic,0,9
1.9,5400,Petrol,Individual,Manual,0,12
7.98,41442,Petrol,Dealer,Manual,0,15
0.48,50000,Petrol,Individual,Manual,0,9
30.61,89000,Diesel,Dealer,Automatic,0,13
1.47,17000,Petrol,Individual,Manual,0,10
0.58,1900,Petrol,Individual,Automatic,0,17
18.61,56001,Petrol,Dealer,Manual,0,12
10.79,43000,Diesel,Dealer,Manual,0,9
3.6,2135,Petrol,Dealer,Manual,0,8
0.52,500000,Petrol,Individual,Automatic,0,17
11.0,87934,Petrol,Dealer,Manual,0,16
13.74,88000,Petrol,Dealer,Manual,0,14
5.7,24678,Petrol,Dealer,Manual,0,10
2.28,127000,Petrol,Individual,Manual,0,22
10.79,41678,Diesel,Dealer,Manual,0,10
1.75,40000,Petrol,Individual,Manual,0,16
7.5,44000,Petrol,Dealer,Automatic,0,10
10.0,69562,Petrol,Dealer,Manual,0,16
20.45,59000,Diesel,Dealer,Manual,0,15
4.6,22517,Petrol,Dealer,Manual,0,14
20.91,12000,Petrol,Dealer,Manual,0,9
4.89,54200,Petrol,Dealer,Manual,0,14
1.05,30000,Petrol,Individual,Manual,0,14
0.99,13000,Petrol,Individual,Manual,0,13
7.7,16002,Petrol,Dealer,Manual,0,9
0.84,25000,Petrol,Individual,Manual,0,9
5.09,35500,CNG,Dealer,Manual,0,10
0.47,21000,Petrol,Individual,Manual,0,12
25.39,29000,Diesel,Dealer,Automatic,0,9
4.43,11849,Petrol,Dealer,Manual,0,9
